,product,bigscape_class,genome_id,accn_id,gcf_0.30,gcf_0.40,gcf_0.50,Clan Number,fam_id_0.30,fam_type_0.30,fam_known_compounds_0.30,bigslice_query,gtdb_release,Domain,Phylum,Class,Order,Family,Genus,Species,Organism,on_contig_edge,length_nt
NC_018750.1.region001,ectoine,Others,GCF_000253235.1,NC_018750.1,1911.0,1911.0,1911.0,2045.0,2.0,known_family,ectoine,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,10417.0
NC_018750.1.region002,terpene,Terpene,GCF_000253235.1,NC_018750.1,2109.0,2109.0,2109.0,,14.0,unknown_family,u_Terpene_14,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,20954.0
NC_018750.1.region003,T3PKS.NRPS.NRPS-like.T1PKS,PKS-NRP_Hybrids,GCF_000253235.1,NC_018750.1,1913.0,1913.0,1913.0,,22.0,known_family,venemycin,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,99490.0
NC_018750.1.region004,terpene.lanthipeptide-class-ii,Others,GCF_000253235.1,NC_018750.1,2111.0,2111.0,2111.0,36.0,20.0,unknown_family,u_Others_20,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,29652.0
NC_018750.1.region005,lanthipeptide-class-iv,RiPPs,GCF_000253235.1,NC_018750.1,2399.0,2399.0,2399.0,552.0,17.0,known_family,venezuelin,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,22853.0
NC_018750.1.region006,indole,Others,GCF_000253235.1,NC_018750.1,2143.0,2143.0,2143.0,36.0,26.0,unknown_family,u_Others_26,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,23207.0
NC_018750.1.region007,NRPS-like,NRPS,GCF_000253235.1,NC_018750.1,1917.0,1917.0,1917.0,2175.0,23.0,known_family,chloramphenicol,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,42067.0
NC_018750.1.region008,CDPS,Others,GCF_000253235.1,NC_018750.1,1918.0,1918.0,1918.0,36.0,10.0,unknown_family,u_Others_10,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,20726.0
NC_018750.1.region009,siderophore,Others,GCF_000253235.1,NC_018750.1,1919.0,1919.0,1919.0,1919.0,1.0,known_family,desferrioxamin B;desferrioxamine E;desferrioxamine;desferrioxamine E;desferrioxamin B,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,10935.0
NC_018750.1.region010,lassopeptide,RiPPs,GCF_000253235.1,NC_018750.1,1950.0,1950.0,1950.0,552.0,29.0,unknown_family,u_RiPPs_29,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,22360.0
NC_018750.1.region011,NRPS-like,NRPS,GCF_000253235.1,NC_018750.1,1981.0,1981.0,1981.0,2235.0,13.0,unknown_family,u_NRPS_13,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,42518.0
NC_018750.1.region012,butyrolactone,Others,GCF_000253235.1,NC_018750.1,1982.0,1982.0,1982.0,36.0,24.0,unknown_family,u_Others_24,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,8183.0
NC_018750.1.region013,melanin,Others,GCF_000253235.1,NC_018750.1,1983.0,1983.0,1983.0,36.0,3.0,unknown_family,u_Others_3,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,8218.0
NC_018750.1.region014,butyrolactone,Others,GCF_000253235.1,NC_018750.1,2094.0,2094.0,2094.0,2094.0,11.0,unknown_family,u_Others_11,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,41107.0
NC_018750.1.region015,thiopeptide.LAP,RiPPs,GCF_000253235.1,NC_018750.1,2239.0,2239.0,2239.0,552.0,18.0,unknown_family,u_RiPPs_18,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,33133.0
NC_018750.1.region016,T3PKS,PKSother,GCF_000253235.1,NC_018750.1,2270.0,2270.0,2270.0,,12.0,unknown_family,u_PKSother_12,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,38528.0
