,product,bigscape_class,genome_id,accn_id,gcf_0.30,gcf_0.40,gcf_0.50,Clan Number,fam_id_0.30,fam_type_0.30,fam_known_compounds_0.30,fam_id_0.40,fam_type_0.40,fam_known_compounds_0.40,fam_id_0.50,fam_type_0.50,fam_known_compounds_0.50
NC_018750.1.region001,ectoine,Others,GCF_000253235.1,NC_018750.1,1911,1911,1911,2045,2,known_family,ectoine,2,known_family,ectoine,5,known_family,ectoine
NC_018750.1.region002,terpene,Terpene,GCF_000253235.1,NC_018750.1,2109,2109,2109,,14,unknown_family,u_Terpene_14,12,unknown_family,u_Terpene_12,15,unknown_family,u_Terpene_15
NC_018750.1.region003,T3PKS.NRPS.NRPS-like.T1PKS,PKS-NRP_Hybrids,GCF_000253235.1,NC_018750.1,1913,1913,1913,,22,known_family,venemycin,24,known_family,venemycin,28,known_family,venemycin
NC_018750.1.region004,terpene.lanthipeptide-class-ii,Others,GCF_000253235.1,NC_018750.1,2111,2111,2111,36,20,unknown_family,u_Others_20,20,unknown_family,u_Others_20,23,unknown_family,u_Others_23
NC_018750.1.region005,lanthipeptide-class-iv,RiPPs,GCF_000253235.1,NC_018750.1,2399,2399,2399,552,17,known_family,venezuelin,18,known_family,venezuelin,14,known_family,venezuelin
NC_018750.1.region006,indole,Others,GCF_000253235.1,NC_018750.1,2143,2143,2143,36,26,unknown_family,u_Others_26,28,unknown_family,u_Others_28,32,unknown_family,u_Others_32
NC_018750.1.region007,NRPS-like,NRPS,GCF_000253235.1,NC_018750.1,1917,1917,1917,2175,23,known_family,chloramphenicol,25,known_family,chloramphenicol,29,known_family,chloramphenicol
NC_018750.1.region008,CDPS,Others,GCF_000253235.1,NC_018750.1,1918,1918,1918,36,10,unknown_family,u_Others_10,14,unknown_family,u_Others_14,17,unknown_family,u_Others_17
NC_018750.1.region009,siderophore,Others,GCF_000253235.1,NC_018750.1,1919,1919,1919,1919,1,known_family,desferrioxamin B;desferrioxamine E;desferrioxamine;desferrioxamine E;desferrioxamin B,1,known_family,desferrioxamin B;desferrioxamine E;desferrioxamine;desferrioxamine E;desferrioxamin B,4,known_family,desferrioxamin B;desferrioxamine E;desferrioxamine;desferrioxamine E;desferrioxamin B;desferrioxamine E
NC_018750.1.region010,lassopeptide,RiPPs,GCF_000253235.1,NC_018750.1,1950,1950,1950,552,29,unknown_family,u_RiPPs_29,31,unknown_family,u_RiPPs_31,34,unknown_family,u_RiPPs_34
NC_018750.1.region011,NRPS-like,NRPS,GCF_000253235.1,NC_018750.1,1981,1981,1981,2235,13,unknown_family,u_NRPS_13,17,unknown_family,u_NRPS_17,20,unknown_family,u_NRPS_20
NC_018750.1.region012,butyrolactone,Others,GCF_000253235.1,NC_018750.1,1982,1982,1982,36,24,unknown_family,u_Others_24,26,unknown_family,u_Others_26,30,unknown_family,u_Others_30
NC_018750.1.region013,melanin,Others,GCF_000253235.1,NC_018750.1,1983,1983,1983,36,3,unknown_family,u_Others_3,4,unknown_family,u_Others_4,7,unknown_family,u_Others_7
NC_018750.1.region014,butyrolactone,Others,GCF_000253235.1,NC_018750.1,2094,2094,2094,2094,11,unknown_family,u_Others_11,15,unknown_family,u_Others_15,18,unknown_family,u_Others_18
NC_018750.1.region015,thiopeptide.LAP,RiPPs,GCF_000253235.1,NC_018750.1,2239,2239,2239,552,18,unknown_family,u_RiPPs_18,21,unknown_family,u_RiPPs_21,24,unknown_family,u_RiPPs_24
NC_018750.1.region016,T3PKS,PKSother,GCF_000253235.1,NC_018750.1,2270,2270,2270,,12,unknown_family,u_PKSother_12,16,unknown_family,u_PKSother_16,19,unknown_family,u_PKSother_19
NC_018750.1.region017,siderophore,Others,GCF_000253235.1,NC_018750.1,2123,2123,2123,36,15,unknown_family,u_Others_15,19,unknown_family,u_Others_19,22,unknown_family,u_Others_22
NC_018750.1.region018,siderophore,Others,GCF_000253235.1,NC_018750.1,2014,2014,2014,36,6,unknown_family,u_Others_6,6,unknown_family,u_Others_6,10,unknown_family,u_Others_10
NC_018750.1.region019,RiPP-like,RiPPs,GCF_000253235.1,NC_018750.1,2125,2125,2125,552,30,unknown_family,u_RiPPs_30,32,unknown_family,u_RiPPs_32,9,unknown_family,u_RiPPs_9
