,Clustername 1,Clustername 2,Raw distance,Squared similarity,Jaccard index,DSS index,Adjacency index,raw DSS non-anchor,raw DSS anchor,Non-anchor domains,Anchor domains,Combined group,Shared group
0,NZ_KZ819172.1.region008,NZ_LQYF01000002.1.region006,0.004301079083234,0.991416335105896,1.0,0.9943406581878662,1.0,0.005835561081767,0.0042346571572124,97,12,T1PKS - T1PKS,T1PKS
1,BGC0000058.1,BGC0002032.1,0.4815472364425659,0.2687932848930359,0.5909090638160706,0.5010601282119751,0.3823529481887817,0.5679202675819397,0.2846079170703888,87,28,T1PKS - T1PKS,T1PKS
2,BGC0000059.1,BGC0002032.1,0.1521967500448227,0.7187703847885132,0.9090909361839294,0.8321972489356995,0.7666666507720947,0.199443370103836,0.0672307088971138,89,28,T1PKS - T1PKS,T1PKS
3,BGC0000035.1,BGC0000094.1,0.4054152965545654,0.3535309731960296,0.9230769276618958,0.4927733838558197,0.8500000238418579,0.568611741065979,0.3499272465705871,41,16,T1PKS - T1PKS,T1PKS
4,BGC0000116.1,BGC0001709.1,0.2380513548851013,0.5805657505989075,0.91304349899292,0.7187130451202393,0.7428571581840515,0.3260593116283417,0.1399004608392715,120,38,T1PKS - T1PKS,T1PKS
5,BGC0000084.1,BGC0000100.1,0.3048323690891266,0.4832580387592315,0.5675675868988037,0.7364349365234375,0.5306122303009033,0.3081780970096588,0.099452905356884,103,28,T1PKS - T1PKS,T1PKS
6,BGC0000115.1,BGC0000116.1,0.291150689125061,0.5024673342704773,0.774193525314331,0.6912432909011841,0.6590909361839294,0.3590096831321716,0.1355161219835281,131,38,T1PKS - T1PKS,T1PKS
7,BGC0000018.1,BGC0000096.1,0.4858929812908172,0.2643060386180877,0.3636363744735718,0.5605418086051941,0.4047619104385376,0.5076019167900085,0.2520628571510315,44,16,T1PKS - T1PKS,T1PKS
8,BGC0000058.1,BGC0000114.1,0.496562510728836,0.2534492909908294,0.7222222089767456,0.4406199753284454,0.4838709533214569,0.6134493350982666,0.3887238502502441,101,32,T1PKS - T1PKS,T1PKS
9,BGC0001169.1,BGC0001742.1,0.4579320251941681,0.293837696313858,0.8999999761581421,0.4304538369178772,0.8461538553237915,0.5945619940757751,0.4913717210292816,50,16,T1PKS - T1PKS,T1PKS
10,BGC0000094.1,NZ_CP029194.1.region017,0.066733717918396,0.8709859251976013,1.0,0.9121924638748168,1.0,0.1134756505489349,0.0199703443795442,37,14,T1PKS - T1PKS,T1PKS
11,BGC0000018.1,BGC0000047.1,0.4678135514259338,0.2832224369049072,0.3529411852359772,0.5879107117652893,0.3863636255264282,0.4891508817672729,0.2049863189458847,43,16,T1PKS - T1PKS,T1PKS
12,BGC0000109.1,BGC0000126.1,0.4892061948776245,0.260910302400589,0.6818181872367859,0.4611720740795135,0.5151515007019043,0.5887635350227356,0.3813386261463165,82,26,T1PKS - T1PKS,T1PKS
13,BGC0000073.1,BGC0000115.1,0.4829442203044891,0.2673466801643371,0.4333333373069763,0.5448728799819946,0.380952388048172,0.5202712416648865,0.2682664096355438,109,38,T1PKS - T1PKS,T1PKS
14,BGC0000058.1,BGC0000149.1,0.4870141148567199,0.263154536485672,0.7777777910232544,0.433857798576355,0.6071428656578064,0.6090397238731384,0.4345898330211639,92,30,T1PKS - T1PKS,T1PKS
15,BGC0000018.1,BGC0000035.1,0.4839768409729004,0.2662799060344696,0.2857142984867096,0.5881370902061462,0.3090909123420715,0.4855793416500091,0.2091426849365234,44,16,T1PKS - T1PKS,T1PKS
16,BGC0000050.1,BGC0000166.1,0.4872838258743286,0.2628778517246246,0.7333333492279053,0.4458984732627868,0.625,0.6233950257301331,0.3616195917129516,50,18,T1PKS - T1PKS,T1PKS
17,BGC0000058.1,BGC0000073.1,0.4918576776981354,0.2582086324691772,0.8666666746139526,0.396200031042099,0.8181818127632141,0.6465103626251221,0.4824125468730926,108,38,T1PKS - T1PKS,T1PKS
